Value,Points,Category,Year,,,,,,,
1.2238,16,WHIP,,,,,,,,
1.2242,15,WHIP,,,,,,,,
1.2427,14,WHIP,,,,,,,,
1.2474,13,WHIP,,,,,,,,
1.2552,12,WHIP,,,,,,,,
1.259,11,WHIP,,,,,,,,
1.2654,10,WHIP,,,,,,,,
1.281,9,WHIP,,,,,,,,
1.2873,8,WHIP,,,,,,,,
1.2957,7,WHIP,,,,,,,,
1.3095,6,WHIP,,,,,,,,
1.3121,5,WHIP,,,,,,,,
1.3255,4,WHIP,,,,,,,,
1.3304,3,WHIP,,,,,,,,
1.3374,2,WHIP,,,,,,,,
1.4008,1,WHIP,,,,,,,,
1.1633,18,WHIP,,,,,,,,
1.1753,17,WHIP,,,,,,,,
1.1971,16,WHIP,,,,,,,,
1.2006,15,WHIP,,,,,,,,
1.205,14,WHIP,,,,,,,,
1.2142,13,WHIP,,,,,,,,
1.2227,12,WHIP,,,,,,,,
1.2683,11,WHIP,,,,,,,,
1.2701,10,WHIP,,,,,,,,
1.2911,9,WHIP,,,,,,,,
1.2922,8,WHIP,,,,,,,,
1.3203,7,WHIP,,,,,,,,
1.3225,6,WHIP,,,,,,,,
1.3318,5,WHIP,,,,,,,,
1.3357,4,WHIP,,,,,,,,
1.3558,3,WHIP,,,,,,,,
1.3611,2,WHIP,,,,,,,,
1.4072,1,WHIP,,,,,,,,
2.923,18,ERA,2013,,,,,,,
3.036,17,ERA,2013,,,,,,,
3.054,16,ERA,2013,,,,,,,
3.056,15,ERA,2013,,,,,,,
3.069,14,ERA,2013,,,,,,,
3.127,13,ERA,2013,,,,,,,
3.348,12,ERA,2013,,,,,,,
3.364,11,ERA,2013,,,,,,,
3.367,10,ERA,2013,,,,,,,
3.393,9,ERA,2013,,,,,,,
3.532,8,ERA,2013,,,,,,,
3.548,7,ERA,2013,,,,,,,
3.63,6,ERA,2013,,,,,,,
3.682,5,ERA,2013,,,,,,,
3.907,4,ERA,2013,,,,,,,
3.935,3,ERA,2013,,,,,,,
4.104,2,ERA,2013,,,,,,,
4.535,1,ERA,2013,,,,,,,
1553,18,K,2013,,,,,,,
1417,17,K,2013,,,,,,,
1273,16,K,2013,,,,,,,
1222,15,K,2013,,,,,,,
1150,14,K,2013,,,,,,,
1124,13,K,2013,,,,,,,
1096,12,K,2013,,,,,,,
1079,11,K,2013,,,,,,,
1061,10,K,2013,,,,,,,
1015,9,K,2013,,,,,,,
957,8,K,2013,,,,,,,
941,7,K,2013,,,,,,,
919,6,K,2013,,,,,,,
821,5,K,2013,,,,,,,
570,4,K,2013,,,,,,,
559,3,K,2013,,,,,,,
387,2,K,2013,,,,,,,
322,1,K,2013,,,,,,,
120,18,SV,2013,,,,,,,
93,17,SV,2013,,,,,,,
86,15.5,SV,2013,,,,,,,
86,15.5,SV,2013,,,,,,,
80,14,SV,2013,,,,,,,
77,13,SV,2013,,,,,,,
73,12,SV,2013,,,,,,,
43,11,SV,2013,,,,,,,
38,10,SV,2013,,,,,,,
36,9,SV,2013,,,,,,,
26,8,SV,2013,,,,,,,
22,7,SV,2013,,,,,,,
13,6,SV,2013,,,,,,,
12,5,SV,2013,,,,,,,
5,4,SV,2013,,,,,,,
2,3,SV,2013,,,,,,,
1,2,SV,2013,,,,,,,
0,1,SV,2013,,,,,,,
101,18,W,2013,,,,,,,
96,16.5,W,2013,,,,,,,
96,16.5,W,2013,,,,,,,
82,15,W,2013,,,,,,,
81,14,W,2013,,,,,,,
80,12.5,W,2013,,,,,,,
80,12.5,W,2013,,,,,,,
72,11,W,2013,,,,,,,
69,9,W,2013,,,,,,,
69,9,W,2013,,,,,,,
69,9,W,2013,,,,,,,
66,7,W,2013,,,,,,,
64,6,W,2013,,,,,,,
58,5,W,2013,,,,,,,
36,4,W,2013,,,,,,,
27,3,W,2013,,,,,,,
22,2,W,2013,,,,,,,
14,1,W,2013,,,,,,,
1.0492,18,WHIP,2013,,,,,,,
1.1329,17,WHIP,2013,,,,,,,
1.1608,16,WHIP,2013,,,,,,,
1.1718,15,WHIP,2013,,,,,,,
1.1846,14,WHIP,2013,,,,,,,
1.194,13,WHIP,2013,,,,,,,
1.2087,12,WHIP,2013,,,,,,,
1.2137,11,WHIP,2013,,,,,,,
1.2265,10,WHIP,2013,,,,,,,
1.2284,9,WHIP,2013,,,,,,,
1.2324,8,WHIP,2013,,,,,,,
1.2465,7,WHIP,2013,,,,,,,
1.2579,6,WHIP,2013,,,,,,,
1.2687,5,WHIP,2013,,,,,,,
1.277,4,WHIP,2013,,,,,,,
1.2845,3,WHIP,2013,,,,,,,
1.3156,2,WHIP,2013,,,,,,,
1.4341,1,WHIP,2013,,,,,,,
0.277,18,AVG,2013,,,,,,,
0.2758,17,AVG,2013,,,,,,,
0.2746,16,AVG,2013,,,,,,,
0.2714,15,AVG,2013,,,,,,,
0.2697,14,AVG,2013,,,,,,,
0.2665,13,AVG,2013,,,,,,,
0.2631,12,AVG,2013,,,,,,,
0.2611,11,AVG,2013,,,,,,,
0.2579,10,AVG,2013,,,,,,,
0.2571,9,AVG,2013,,,,,,,
0.2551,8,AVG,2013,,,,,,,
0.255,7,AVG,2013,,,,,,,
0.2549,6,AVG,2013,,,,,,,
0.2515,5,AVG,2013,,,,,,,
0.2483,4,AVG,2013,,,,,,,
0.2481,3,AVG,2013,,,,,,,
