"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Daniel Robertson","Rays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".243",".302",".338",".639",".284"," ","80","0.0","0.0"," ","0.0","0.0","0.0","sa657854"
"T.J. Rivera","Mets","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".262",".297",".348",".646",".283"," ","81","0.0","0.0"," ","0.0","0.0","0.0","sa599382"
"Marco Hernandez","Red Sox","13","13","3","1","0","0","1","1","0","3","0","0","0"," ",".260",".289",".365",".654",".283"," ","72","0.0","0.0"," ","-0.4","0.1","0.0","sa547804"
"Zach Osborne","Rockies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".261",".299",".344",".643",".282"," ","58","0.0","0.0"," ","0.0","0.0","0.0","sa577885"
"Addison Maruszak","Phillies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".234",".286",".356",".642",".282"," ","75","0.0","0.0"," ","0.0","0.0","0.0","sa455124"
"Alcides Escobar","Royals","651","608","159","28","5","5","68","49","27","82","6","19","7"," ",".262",".297",".345",".643",".282"," ","74","2.6","2.3"," ","-16.8","9.5","1.5","6310"
"Hainley Statia","Brewers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".238",".306",".325",".631",".282"," ","71","0.0","0.0"," ","0.0","0.0","0.0","sa254151"
"Michael Miller","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".258",".295",".346",".641",".281"," ","70","0.0","0.0"," ","0.0","0.0","0.0","sa658139"
"Jeff Bianchi","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".255",".297",".341",".638",".281"," ","70","0.0","0.0"," ","0.0","0.0","0.0","9958"
"J.J. Hardy","Orioles","447","416","99","18","0","11","42","45","23","81","2","1","1"," ",".239",".280",".363",".642",".280"," ","72","-1.0","3.4"," ","-15.7","9.0","0.9","3797"
"Chris Curley","White Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".239",".277",".364",".641",".279"," ","72","0.0","0.0"," ","0.0","0.0","0.0","sa511667"
"Levi Michael","Twins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".237",".297",".333",".630",".279"," ","73","0.0","0.0"," ","0.0","0.0","0.0","sa526207"
"Josh Johnson","Nationals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".240",".308",".319",".627",".279"," ","73","0.0","0.0"," ","0.0","0.0","0.0","sa254333"
"Everth Cabrera","Orioles","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".248",".302",".325",".627",".279"," ","71","0.0","0.0"," ","0.0","0.0","0.0","8155"
"James Beresford","Twins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".269",".305",".325",".630",".279"," ","72","0.0","0.0"," ","0.0","0.0","0.0","sa392998"
"Sean Jamieson","Diamondbacks","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".235",".291",".341",".632",".278"," ","69","0.0","0.0"," ","0.0","0.0","0.0","sa598483"
"Alvaro Rondon","Diamondbacks","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".249",".288",".348",".635",".278"," ","69","0.0","0.0"," ","0.0","0.0","0.0","sa838027"
"Adam Frazier","Pirates","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".256",".300",".329",".629",".278"," ","76","0.0","0.0"," ","0.0","0.0","0.0","sa737830"
"Nick Ahmed","Diamondbacks","370","340","81","16","3","5","31","33","22","59","2","6","4"," ",".240",".287",".348",".635",".278"," ","68","0.6","1.5"," ","-13.1","6.1","0.5","12147"
"Kevin Medrano","Diamondbacks","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".259",".298",".331",".630",".278"," ","68","0.0","0.0"," ","0.0","0.0","0.0","sa577957"
