"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Jose Lobaton","Nationals","150","135","31","6","0","3","13","14","13","37","1","1","0"," ",".230",".298",".340",".638",".281"," ","74","-0.3","-0.3"," ","-4.8","2.9","0.3","4243"
"Carlos Perez","Angels","286","262","64","13","0","4","26","27","18","46","1","2","1"," ",".244",".295",".343",".638",".281"," ","80","-0.1","1.3"," ","-6.7","7.3","1.1","10642"
"Shawn Zarraga","Dodgers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".247",".304",".332",".637",".281"," ","79","0.0","0.0"," ","0.0","0.0","0.0","sa456095"
"Mike Zunino","Mariners","123","112","24","5","0","5","13","14","6","37","2","1","0"," ",".210",".263",".384",".648",".281"," ","79","0.1","0.9"," ","-2.9","3.5","0.5","13265"
"Jake Romanski","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".250",".291",".350",".642",".281"," ","70","0.0","0.0"," ","0.0","0.0","0.0","sa738897"
"Rob Brantly","White Sox","18","17","4","1","0","0","2","2","1","3","0","0","0"," ",".242",".284",".360",".644",".281"," ","73","0.0","0.0"," ","-0.6","0.3","0.0","10655"
"Roberto Perez","Indians","165","144","30","6","0","3","15","15","18","45","1","1","0"," ",".211",".301",".327",".628",".281"," ","75","-0.3","0.9"," ","-5.0","4.4","0.5","2900"
"Tyler Heineman","Astros","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".244",".295",".340",".635",".281"," ","74","0.0","0.0"," ","0.0","0.0","0.0","sa658108"
"Alejandro Segovia","Rays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".219",".283",".353",".635",".280"," ","78","0.0","0.0"," ","0.0","0.0","0.0","sa504965"
"Austin Green","Tigers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".240",".279",".362",".641",".280"," ","73","0.0","0.0"," ","0.0","0.0","0.0","sa738290"
"Ramon Cabrera","Reds","92","84","21","4","0","1","7","8","6","13","0","0","0"," ",".250",".297",".336",".633",".280"," ","71","0.0","0.2"," ","-3.1","2.1","0.2","10327"
"Francisco Pena","Orioles","62","58","13","3","0","2","6","7","3","11","1","1","0"," ",".226",".268",".379",".647",".280"," ","71","0.0","0.0"," ","-2.0","1.3","0.1","8298"
"Raywilly Gomez","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".246",".306",".321",".627",".280"," ","79","0.0","0.0"," ","0.0","0.0","0.0","sa503268"
"Jett Bandy","Angels","13","12","3","1","0","0","1","1","1","3","0","0","0"," ",".231",".280",".357",".637",".279"," ","79","0.0","0.0"," ","-0.3","0.3","0.0","12508"
"Rafael Lopez","Cubs","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".235",".303",".324",".627",".279"," ","73","0.0","0.0"," ","0.0","0.0","0.0","12606"
"Cameron Rupp","Phillies","319","288","64","12","1","8","27","31","23","84","3","1","1"," ",".222",".284",".358",".642",".279"," ","73","-0.4","1.5"," ","-10.5","8.2","0.8","11146"
