"","name","Team","position","marginal.total.points","dollar.value","status"
"432","Rafael Montero","Mets","pitcher",-0.73,-2,""
"433","Yusmeiro Petit","Nationals","pitcher",-0.73,-2.01,""
"434","Fernando Salas","Angels","pitcher",-0.74,-2.02,""
"435","Cliff Lee","Phillies","pitcher",-0.74,-2.04,""
"436","Manny Banuelos","Braves","pitcher",-0.74,-2.04,""
"437","Eric Sogard","Athletics","second_base",-0.75,-2.06,""
"438","Chad Pinder","Athletics","shortstop",-0.75,-2.07,""
"439","Mason Williams","Yankees","outfield",-0.75,-2.07,""
"440","Joey Rickard","Orioles","outfield",-0.75,-2.07,""
"441","Aaron Sanchez","Blue Jays","pitcher",-0.76,-2.08,""
"442","Ross Ohlendorf","Rangers","pitcher",-0.76,-2.08,""
