"","name","Team","position","playerid","IP","ERA","WHIP","SV","W","K","marginal.total.points","dollar.value","status"
"514","Jeremy Kehrt","Dodgers","pitcher","sa455400",99.3,4.44,1.34,0,5,62,-2.09,-5.74,""
"515","Tom Wilhelmsen","Rangers","pitcher","9975",64,3.94,1.38,2,2,58,-2.09,-5.76,""
"516","Joe Musgrove","Astros","pitcher","sa597766",85.3,5.06,1.28,0,5,64,-2.09,-5.77,""
"517","Carlos Estevez","Rockies","pitcher","sa598491",56.3,4.31,1.33,0,4,49,-2.1,-5.78,""
"518","Brendan Mccurry","Athletics","pitcher","sa829486",60.7,4.01,1.3,0,2,62,-2.11,-5.8,""
"519","Chase Whitley","Rays","pitcher","10982",66.3,4.21,1.34,0,4,51,-2.11,-5.82,""
"520","Felix Doubront","Athletics","pitcher","1478",117.7,4.44,1.41,0,5,93,-2.11,-5.82,""
"521","Jerry Blevins","Mets","pitcher","7841",31,3.19,1.16,0,2,33,-2.11,-5.82,""
"522","Alex Reyes","Cardinals","pitcher","sa739551",102,4.24,1.55,0,6,101,-2.13,-5.87,"drafted"
"523","Deolis Guerra","Angels","pitcher","8410",54.3,3.98,1.25,0,2,51,-2.13,-5.88,""
"524","Sam Runion","Nationals","pitcher","sa390308",59.3,4.1,1.35,0,4,46,-2.14,-5.88,""
"525","John Danks","White Sox","pitcher","6329",166,4.88,1.4,0,8,114,-2.14,-5.9,""
"526","Phil Klein","Rangers","pitcher","12675",71.3,4.04,1.39,0,3,68,-2.16,-5.94,""
"527","Albert Suarez","Angels","pitcher","sa455792",97.3,4.44,1.36,0,5,63,-2.16,-5.94,""
"528","Rob Rasmussen","Angels","pitcher","11250",56.7,3.81,1.38,0,3,54,-2.16,-5.95,""
"529","Chris Smith"," ","pitcher","4544",86.3,4.48,1.36,0,4,71,-2.17,-5.96,""
"530","Mike Wright","Orioles","pitcher","12586",130.7,4.82,1.39,0,7,88,-2.18,-5.99,""
"531","Ivan Pineyro","Marlins","pitcher","sa597101",111.7,4.59,1.37,0,5,80,-2.18,-6.01,""
"532","Chris Capuano","Yankees","pitcher","1701",76.3,4.24,1.36,0,3,69,-2.18,-6.02,""
"533","Lester Oliveros","Twins","pitcher","9167",40,3.83,1.33,0,3,42,-2.19,-6.04,""
"534","CC Sabathia","Yankees","pitcher","404",124.7,4.98,1.39,0,6,104,-2.19,-6.04,""
"535","Luis Avilan","Dodgers","pitcher","2882",58.3,3.86,1.32,0,3,44,-2.19,-6.04,""
"536","Jacob Brigham","Braves","pitcher","2851",103.7,4.43,1.39,0,5,73,-2.2,-6.04,""
"537","Ryan Pressly","Twins","pitcher","7005",62,4.06,1.39,0,4,50,-2.2,-6.04,""
"538","Brad Hand","Marlins","pitcher","9111",105.7,4.34,1.42,0,5,79,-2.2,-6.05,""
"539","Erik Cordier","Marlins","pitcher","4086",53.7,3.69,1.43,0,3,56,-2.2,-6.06,""
"540","Matt Reynolds","Diamondbacks","pitcher","8887",42.7,4.01,1.27,0,3,38,-2.2,-6.06,""
"541","Ben Rowen","Blue Jays","pitcher","10983",59.3,3.94,1.28,0,3,39,-2.2,-6.06,""
"542","Ryan Dennick","Reds","pitcher","9261",56.3,3.99,1.3,0,3,43,-2.21,-6.08,""
"543","Manny Parra","Reds","pitcher","4279",37.3,3.38,1.23,0,2,35,-2.21,-6.08,""
"544","Jed Bradley","Brewers","pitcher","sa578205",63.3,4.12,1.36,0,4,46,-2.21,-6.09,""
"545","Dan Otero","Indians","pitcher","7385",70.3,4.09,1.27,0,3,42,-2.21,-6.09,""
"546","C.C. Lee","Indians","pitcher","5177",53,3.91,1.3,0,2,53,-2.21,-6.09,""
"547","Robert Gsellman","Mets","pitcher","sa599041",122,4.57,1.42,0,7,76,-2.22,-6.11,""
"548","Vinnie Pestano","Angels","pitcher","4782",47.3,4.18,1.35,0,3,52,-2.22,-6.11,""
"549","J.B. Wendelken","Athletics","pitcher","sa658247",67,4.7,1.33,0,4,58,-2.23,-6.14,""
"550","Edwin Diaz","Mariners","pitcher","sa657938",124.7,4.76,1.43,0,6,104,-2.24,-6.15,""
"551","Adrian Sampson","Mariners","pitcher","sa598288",155.3,5.04,1.36,0,7,106,-2.24,-6.16,""
"552","Trevor Williams","Marlins","pitcher","sa708217",129,4.6,1.42,0,7,82,-2.24,-6.16,""
"553","Adam Plutko","Indians","pitcher","sa548327",142.3,5.06,1.39,0,7,109,-2.24,-6.18,""
"554","Justin De Fratus","Mariners","pitcher","4955",66.7,4.05,1.41,0,4,53,-2.25,-6.19,""
"555","Kyle Barraclough","Marlins","pitcher","13713",63.3,3.69,1.5,0,3,70,-2.25,-6.2,""
"556","Taylor Guerrieri","Rays","pitcher","sa597787",61,4.13,1.31,0,3,47,-2.25,-6.21,""
"557","Seth Rosin","Phillies","pitcher","10606",81.7,4.41,1.35,0,4,59,-2.26,-6.21,""
"558","LaTroy Hawkins","Blue Jays","pitcher","729",41.3,3.92,1.26,0,3,32,-2.26,-6.23,""
"559","Pierce Johnson","Cubs","pitcher","sa501771",97.3,4.44,1.45,0,5,83,-2.26,-6.23,""
"560","David Huff","Dodgers","pitcher","4257",72.3,4.48,1.31,0,4,48,-2.26,-6.23,""
"561","Blake Wood","Reds","pitcher","1345",47.3,4.18,1.44,1,3,53,-2.26,-6.23,""
"562","Jacob Lindgren","Yankees","pitcher","16215",38.3,3.76,1.33,0,2,49,-2.27,-6.26,""
"563","Chase Johnson","Giants","pitcher","sa549740",115,4.3,1.45,0,5,89,-2.28,-6.26,""
"564","Jarrod Parker","Athletics","pitcher","4913",93,4.55,1.37,0,5,62,-2.28,-6.27,""
"565","Joe Wieland","Mariners","pitcher","6109",86.3,4.69,1.33,0,4,66,-2.28,-6.27,""
